"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	1178	7714902	15.269
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	1109	7675409	14.449
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	1111	7712063	14.406
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	1112	7760954	14.328
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	979	7828324	12.506
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	993	7902866	12.565
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	957	7938462	12.055
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	1009	7920873	12.738
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	916	7947320	11.526
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	967	7953531	12.158
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	965	7898015	12.218
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	955	7856188	12.156
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	941	7819729	12.034
	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	886	7760901	11.416
"Total"	"5-9 years"	"5-9"	"Male"	"M"	"White"	"2106-3"			20458	149780242	13.659
"Total"	"5-9 years"	"5-9"	"Male"	"M"					27234	181950395	14.968
"Total"	"5-9 years"	"5-9"							48250	355686112	13.565
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	332	1600922	20.738
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	344	1640766	20.966
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	336	1708798	19.663
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	369	1753923	21.039
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	347	1784918	19.441
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	383	1793885	21.350
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	332	1772549	18.730
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	301	1745291	17.246
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	301	1716222	17.539
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	289	1692101	17.079
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	291	1675398	17.369
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	267	1670740	15.981
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	241	1674758	14.390
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	236	1670741	14.125
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	233	1660922	14.028
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	256	1659163	15.429
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	255	1650047	15.454
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2016"	"2016"	263	1651671	15.923
	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	269	1674743	16.062
"Total"	"10-14 years"	"10-14"	"Female"	"F"	"Black or African American"	"2054-5"			5645	32197558	17.532
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	1191	7717223	15.433
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	1184	7814198	15.152
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	1138	7943734	14.326
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	1184	8017176	14.768
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	1117	8042433	13.889
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	1130	8018173	14.093
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	1052	7930898	13.265
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	971	7854649	12.362
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	1001	7775847	12.873
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	917	7721796	11.875
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	917	7700681	11.908
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	885	7699666	11.494
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	840	7701080	10.908
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	853	7675985	11.113
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	914	7663160	11.927
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	804	7662909	10.492
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	905	7633735	11.855
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	896	7621327	11.756
	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	897	7654609	11.718
"Total"	"10-14 years"	"10-14"	"Female"	"F"	"White"	"2106-3"			18796	147849279	12.713
"Total"	"10-14 years"	"10-14"	"Female"	"F"					24441	180046837	13.575
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	577	1650063	34.968
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	543	1691010	32.111
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	551	1761745	31.276
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	596	1808689	32.952
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	567	1844374	30.742
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	516	1853308	27.842
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	548	1832956	29.897
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	462	1804779	25.599
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	485	1777494	27.286
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	420	1752126	23.971
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	427	1736232	24.593
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	384	1731444	22.178
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	397	1735896	22.870
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	409	1731265	23.624
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	354	1718248	20.602
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	411	1713643	23.984
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	398	1702135	23.382
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	383	1702168	22.501
	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	475	1726618	27.510
"Total"	"10-14 years"	"10-14"	"Male"	"M"	"Black or African American"	"2054-5"			8903	33274193	26.756
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	1852	8144247	22.740
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	1907	8248024	23.121
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	1782	8378225	21.269
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	1786	8452080	21.131
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	1803	8480128	21.261
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	1727	8455069	20.426
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	1640	8360771	19.615
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	1528	8281099	18.452
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	1478	8195221	18.035
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	1359	8133240	16.709
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	1321	8107369	16.294
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	1265	8104922	15.608
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	1312	8094084	16.209
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	1216	8065529	15.077
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	1252	8046692	15.559
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	1266	8026969	15.772
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	1281	7989430	16.034
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2016"	"2016"	1284	7977271	16.096
	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"	"2017"	"2017"	1390	8017785	17.336
"Total"	"10-14 years"	"10-14"	"Male"	"M"	"White"	"2106-3"			28449	155558155	18.288
"Total"	"10-14 years"	"10-14"	"Male"	"M"					37352	188832348	19.781
"Total"	"10-14 years"	"10-14"							61793	368879185	16.752
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	692	1532399	45.158
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	672	1536869	43.725
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	630	1555227	40.509
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	639	1578608	40.479
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	598	1615115	37.025
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	661	1665568	39.686
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	650	1729257	37.588
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	643	1783598	36.051
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	654	1829855	35.741
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	681	1862208	36.569
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2009"	"2009"	632	1872421	33.753
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2010"	"2010"	566	1857418	30.472
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2011"	"2011"	567	1798629	31.524
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2012"	"2012"	540	1759361	30.693
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2013"	"2013"	495	1727681	28.651
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2014"	"2014"	497	1709342	29.076
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2015"	"2015"	554	1711220	32.375
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2016"	"2016"	634	1714433	36.980
	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	"2017"	"2017"	557	1712712	32.522
"Total"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"			11562	32551921	35.519
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	3133	7672225	40.836
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	3031	7716859	39.278
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	2971	7762551	38.274
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	3139	7799081	40.248
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	3084	7850798	39.283
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	3183	7936823	40.104
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	2969	8041997	36.919
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	2974	8126644	36.596
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	2914	8190463	35.578
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	2598	8210555	31.642
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	2539	8180967	31.035
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	2298	8115655	28.316
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	2250	7975711	28.211
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2012"	"2012"	2177	7880357	27.626
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2013"	"2013"	2085	7819443	26.664
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2014"	"2014"	2087	7789929	26.791
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2015"	"2015"	2278	7794097	29.227
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2016"	"2016"	2295	7793945	29.446
	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	"2017"	"2017"	2311	7780091	29.704
"Total"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"			50316	150438191	33.446
"Total"	"15-19 years"	"15-19"	"Female"	"F"					61878	182990112	33.815
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	2157	1567014	137.650
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	2045	1571778	130.107
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	2080	1608807	129.288
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	1963	1635301	120.039
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	1974	1666650	118.441
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	2019	1716424	117.628
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	2189	1781344	122.885
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	2309	1838852	125.567
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	2302	1886818	122.004
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	2175	1923433	113.079
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2009"	"2009"	1939	1933253	100.297
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2010"	"2010"	1965	1917774	102.463
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2011"	"2011"	1813	1868011	97.055
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2012"	"2012"	1776	1825578	97.284
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2013"	"2013"	1685	1788137	94.232
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2014"	"2014"	1668	1767688	94.361
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2015"	"2015"	1837	1768610	103.867
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2016"	"2016"	2002	1773894	112.859
	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"	"2017"	"2017"	2069	1771173	116.815
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"Black or African American"	"2054-5"			37967	33610539	112.962
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	7222	8174959	88.343
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	7242	8218703	88.116
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	7264	8317000	87.339
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	7474	8356476	89.440
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	7308	8388799	87.116
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	7267	8466212	85.835
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	7299	8568005	85.189
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	7168	8645517	82.910
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	6851	8697887	78.766
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	6416	8709334	73.668
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	5862	8663717	67.661
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	5549	8582975	64.651
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	5484	8466251	64.775
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2012"	"2012"	5119	8350018	61.305
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2013"	"2013"	4767	8267941	57.656
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2014"	"2014"	4867	8209438	59.285
	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	"2015"	"2015"	4981	8203320	60.719
