"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	3449	1589101	217.041
	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	3338	1606611	207.767
"Total"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"			33846	15000839	225.627
	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	8981	7581135	118.465
	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	9626	7722976	124.641
	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	10265	7997239	128.357
	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	10608	8162666	129.958
	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	10911	8271433	131.912
	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	11039	8371702	131.861
	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	11493	8420075	136.495
	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	12007	8445286	142.174
	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	11662	8430164	138.337
	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	11137	8424875	132.192
"Total"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"			107729	81827551	131.654
"Total"	"20-24 years"	"20-24"	"Male"	"M"					141575	96828390	146.212
"Total"	"20-24 years"	"20-24"							186503	189242900	98.552
	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	1371	1427024	96.074
	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	1378	1415587	97.345
	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	1350	1380095	97.819
	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	1321	1373896	96.150
	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	1305	1380225	94.550
	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	1352	1415617	95.506
	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	1313	1459653	89.953
	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	1369	1508823	90.733
	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	1343	1542044	87.092
	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	1294	1566372	82.611
"Total"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"			13396	14469336	92.582
	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	3554	7606278	46.725
	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	3484	7491633	46.505
	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	3607	7219635	49.961
	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	3484	7150117	48.726
	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	3649	7181718	50.810
	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	3626	7292482	49.722
	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	3756	7451898	50.403
	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	4100	7669320	53.460
	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	4223	7821735	53.991
	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	4155	7937580	52.346
"Total"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"			37638	74822396	50.303
"Total"	"25-29 years"	"25-29"	"Female"	"F"					51034	89291732	57.154
	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	3073	1291042	238.025
	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	3163	1281456	246.829
	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	3117	1245294	250.302
	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	3229	1234955	261.467
	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	3219	1235269	260.591
	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	3264	1268919	257.227
	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	3334	1310611	254.385
	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	3506	1358655	258.049
	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	3398	1397943	243.071
	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	3268	1433561	227.964
"Total"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"			32571	13057705	249.439
	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	9015	7944134	113.480
	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	8943	7850735	113.913
	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	9381	7581185	123.741
	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	9219	7502654	122.877
	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	9342	7512238	124.357
	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	9795	7622607	128.499
	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	10323	7752695	133.154
	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	11114	7948362	139.828
	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	11159	8100190	137.762
	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	11147	8235640	135.351
"Total"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"			99438	78050440	127.402
"Total"	"25-29 years"	"25-29"	"Male"	"M"					132009	91108145	144.893
"Total"	"25-29 years"	"25-29"							183043	180399877	101.465
	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	2021	1458386	138.578
	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	2111	1450022	145.584
	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	2005	1459320	137.393
	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	2002	1469063	136.277
	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	1944	1468003	132.425
	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	1889	1460706	129.321
	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	1880	1438633	130.680
	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	1757	1411565	124.472
	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	1671	1408863	118.606
	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	1609	1420164	113.297
"Total"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"			18889	14444725	130.767
	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	5297	8155146	64.953
	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	5095	8082203	63.040
	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	5409	8102826	66.754
	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	5289	8057896	65.637
	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	5226	7951105	65.727
	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	5065	7781598	65.089
	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	5115	7577296	67.504
	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	4944	7363441	67.143
	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	4960	7298884	67.956
	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	4893	7338828	66.673
"Total"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"			51293	77709223	66.006
"Total"	"30-34 years"	"30-34"	"Female"	"F"					70182	92153948	76.157
	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	3650	1308656	278.912
	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	3587	1304434	274.985
	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	3556	1305777	272.328
	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	3619	1311880	275.864
	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	3474	1304802	266.247
	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	3420	1296310	263.826
	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	3509	1273206	275.603
	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	3413	1252301	272.538
	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	3250	1250808	259.832
	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	3095	1266108	244.450
"Total"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"			34573	12874282	268.543
	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	11534	8447156	136.543
	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	11197	8381747	133.588
	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	11597	8406789	137.948
	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	11579	8363787	138.442
	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	11472	8233482	139.334
	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	10789	8061179	133.839
	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	10909	7840508	139.136
	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	10969	7633541	143.695
	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	10839	7564680	143.284
	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	10917	7609175	143.472
"Total"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"			111802	80542044	138.812
"Total"	"30-34 years"	"30-34"	"Male"	"M"					146375	93416326	156.691
"Total"	"30-34 years"	"30-34"							216557	185570274	116.698
	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	3492	1564410	223.215
	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	3337	1563679	213.407
	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	3363	1554419	216.351
	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	3231	1533488	210.696
	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	3203	1509449	212.197
	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	2836	1479799	191.648
	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	2801	1472363	190.238
	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	2772	1485026	186.663
	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	2684	1497090	179.281
	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	2480	1499322	165.408
"Total"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"			30199	15159045	199.214
	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	9232	9277734	99.507
	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	9104	9176169	99.214
	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	9358	8915144	104.967
	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	9072	8679772	104.519
	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	8668	8441880	102.679
	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	8203	8243064	99.514
	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	8146	8176053	99.632
	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	8120	8204390	98.971
	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	7984	8165053	97.783
	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	7787	8066223	96.538
"Total"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"			85674	85345482	100.385
"Total"	"35-39 years"	"35-39"	"Female"	"F"					115873	100504527	115.291
	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"1999"	"1999"	5171	1387055	372.804
	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"2000"	"2000"	5015	1386896	361.599
	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"2001"	"2001"	5022	1380627	363.748
	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"2002"	"2002"	4996	1359435	367.506
	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"2003"	"2003"	4620	1336249	345.744
	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"2004"	"2004"	4262	1313871	324.385
	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"2005"	"2005"	4247	1307656	324.780
	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"2006"	"2006"	4268	1316137	324.282
	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"2007"	"2007"	4147	1328450	312.168
	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	"2008"	"2008"	3771	1331056	283.309
"Total"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"			45519	13447432	338.496
	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	17792	9425123	188.772
	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	17529	9315701	188.166
	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	17880	9074472	197.036
	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	16840	8836733	190.568
	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	16344	8604177	189.954
	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	15483	8425967	183.753
	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	15031	8370486	179.571
	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	15107	8395132	179.950
	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	14820	8356354	177.350
	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	14536	8243649	176.330
"Total"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"			161362	87047794	185.372
"Total"	"35-39 years"	"35-39"	"Male"	"M"					206881	100495226	205.862
"Total"	"35-39 years"	"35-39"							322754	200999753	160.574
	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"1999"	"1999"	4982	1468119	339.346
	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"2000"	"2000"	4969	1490950	333.277
	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"2001"	"2001"	5189	1528203	339.549
	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"2002"	"2002"	5155	1542839	334.124
	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"2003"	"2003"	5037	1558049	323.289
	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"2004"	"2004"	4938	1572854	313.952
	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"2005"	"2005"	4759	1571692	302.795
	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"2006"	"2006"	4637	1563778	296.525
	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"2007"	"2007"	4200	1543918	272.035
	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	"2008"	"2008"	4110	1521526	270.124
"Total"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"			47976	15361928	312.305
