"Notes"	"Age Group"	"Age Group Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	2028	1391893	145.7
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	2312	1391164	166.2
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1989"	"1989"	2456	1375607	178.5
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1990"	"1990"	2737	1370304	199.7
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1991"	"1991"	3053	1342227	227.5
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1992"	"1992"	2923	1347170	217.0
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1993"	"1993"	3130	1362474	229.7
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1994"	"1994"	3209	1399176	229.3
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1995"	"1995"	2895	1446571	200.1
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1996"	"1996"	2728	1488901	183.2
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1997"	"1997"	2475	1522994	162.5
	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	"1998"	"1998"	2296	1554952	147.7
"Total"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"			46644	28540818	163.4
"Total"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"					60601	56717275	106.8
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	4648	8781000	52.9
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	4664	8677221	53.7
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	4232	8358812	50.6
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	3709	8086657	45.9
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	3563	7814833	45.6
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	3550	7602840	46.7
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	3497	7500794	46.6
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	3655	7509098	48.7
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	3581	7421397	48.3
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	3505	7296706	48.0
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1989"	"1989"	3495	7108344	49.2
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1990"	"1990"	3163	6971165	45.4
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1991"	"1991"	3126	6697113	46.7
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1992"	"1992"	2868	6668378	43.0
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1993"	"1993"	2982	6749044	44.2
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1994"	"1994"	2945	6890176	42.7
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1995"	"1995"	3084	7062318	43.7
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1996"	"1996"	3064	7258062	42.2
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1997"	"1997"	3130	7429588	42.1
	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"	"1998"	"1998"	3079	7586393	40.6
"Total"	"15-19 years"	"15-19"	"White"	"2106-3"	"Female"	"F"			69540	149469939	46.5
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	13265	9127000	145.3
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	12866	9013319	142.7
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	11310	8685102	130.2
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	10429	8404742	124.1
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	9462	8143529	116.2
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	9075	7929348	114.4
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	8807	7843574	112.3
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	9638	7868860	122.5
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	8912	7796802	114.3
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	9033	7684546	117.5
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1989"	"1989"	8450	7507147	112.6
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1990"	"1990"	8515	7379551	115.4
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1991"	"1991"	7941	7101049	111.8
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1992"	"1992"	7440	7086035	105.0
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1993"	"1993"	7628	7180143	106.2
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1994"	"1994"	7828	7336974	106.7
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1995"	"1995"	7773	7526265	103.3
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1996"	"1996"	7555	7738458	97.6
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1997"	"1997"	7397	7922392	93.4
	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	"1998"	"1998"	7246	8086650	89.6
"Total"	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"			180570	157361486	114.7
"Total"	"15-19 years"	"15-19"	"White"	"2106-3"					250110	306831425	81.5
"Total"	"15-19 years"	"15-19"							310711	363548700	85.5
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	1311	1408000	93.1
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	1315	1433135	91.8
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	1210	1460967	82.8
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	1173	1468979	79.9
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	1221	1477004	82.7
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	1148	1477002	77.7
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	1086	1473843	73.7
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	1153	1455994	79.2
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	1231	1429785	86.1
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	1233	1401680	88.0
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1989"	"1989"	1191	1374909	86.6
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1990"	"1990"	1125	1355862	83.0
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1991"	"1991"	1254	1370413	91.5
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1992"	"1992"	1153	1383482	83.3
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1993"	"1993"	1263	1385931	91.1
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1994"	"1994"	1197	1384092	86.5
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1995"	"1995"	1140	1371957	83.1
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1996"	"1996"	1068	1346300	79.3
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1997"	"1997"	1004	1351027	74.3
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"	"1998"	"1998"	994	1366116	72.8
"Total"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Female"	"F"			23470	28176478	83.3
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	3519	1287000	273.4
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	3854	1308760	294.5
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	3469	1341468	258.6
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	3251	1354899	239.9
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	3004	1369626	219.3
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	2991	1380448	216.7
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	3072	1385720	221.7
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	3409	1379755	247.1
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	3560	1358284	262.1
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	3744	1331825	281.1
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1989"	"1989"	3846	1311108	293.3
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1990"	"1990"	3994	1299074	307.4
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1991"	"1991"	4312	1309404	329.3
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1992"	"1992"	4246	1329769	319.3
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1993"	"1993"	4604	1330099	346.1
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1994"	"1994"	4277	1324916	322.8
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1995"	"1995"	3908	1312034	297.9
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1996"	"1996"	3694	1285788	287.3
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1997"	"1997"	3546	1287882	275.3
	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"	"1998"	"1998"	3226	1299133	248.3
"Total"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"	"Male"	"M"			73526	26586992	276.5
"Total"	"20-24 years"	"20-24"	"Black or African American"	"2054-5"					96996	54763470	177.1
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	5111	8909000	57.4
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	5139	8975451	57.3
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	5017	9070863	55.3
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	4739	9046407	52.4
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	4507	8981291	50.2
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	4591	8891598	51.6
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	4311	8734979	49.4
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	4340	8456376	51.3
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	4022	8183032	49.2
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	3913	7917099	49.4
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1989"	"1989"	3672	7708877	47.6
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1990"	"1990"	3537	7627737	46.4
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1991"	"1991"	3529	7640454	46.2
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1992"	"1992"	3337	7564612	44.1
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1993"	"1993"	3273	7448399	43.9
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1994"	"1994"	3251	7275679	44.7
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1995"	"1995"	3102	7096032	43.7
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1996"	"1996"	2890	6900199	41.9
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1997"	"1997"	3023	6895088	43.8
	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"	"1998"	"1998"	2838	6986138	40.6
"Total"	"20-24 years"	"20-24"	"White"	"2106-3"	"Female"	"F"			78142	160309311	48.7
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	17076	9044000	188.8
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	17391	9109473	190.9
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	16355	9241033	177.0
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	15183	9227405	164.5
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	14021	9186173	152.6
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	14299	9128256	156.6
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	13775	8984529	153.3
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	14125	8736324	161.7
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	12928	8479390	152.5
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	12589	8236904	152.8
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1989"	"1989"	11560	8057412	143.5
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1990"	"1990"	11693	8009507	146.0
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1991"	"1991"	11392	8004690	142.3
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1992"	"1992"	10696	7944781	134.6
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1993"	"1993"	10613	7813730	135.8
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1994"	"1994"	10493	7632587	137.5
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1995"	"1995"	10226	7464041	137.0
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1996"	"1996"	9434	7279709	129.6
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1997"	"1997"	9017	7293135	123.6
	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"	"1998"	"1998"	9133	7406255	123.3
"Total"	"20-24 years"	"20-24"	"White"	"2106-3"	"Male"	"M"			251999	166279334	151.6
"Total"	"20-24 years"	"20-24"	"White"	"2106-3"					330141	326588645	101.1
"Total"	"20-24 years"	"20-24"							427137	381352115	112.0
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	3179	2177000	146.0
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	3400	2267154	150.0
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	3390	2412469	140.5
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	3369	2497828	134.9
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	3358	2575796	130.4
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	3483	2647244	131.6
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	3729	2711478	137.5
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	4098	2767133	148.1
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	4282	2819525	151.9
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	4518	2863446	157.8
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1989"	"1989"	4657	2891548	161.1
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1990"	"1990"	4634	2904769	159.5
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1991"	"1991"	4621	2935364	157.4
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1992"	"1992"	4617	2938265	157.1
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1993"	"1993"	4781	2940116	162.6
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1994"	"1994"	4843	2928312	165.4
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1995"	"1995"	4757	2922374	162.8
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1996"	"1996"	4379	2933402	149.3
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1997"	"1997"	3805	2928982	129.9
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"	"1998"	"1998"	3662	2913772	125.7
"Total"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Female"	"F"			81562	54975977	148.4
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	7627	1886000	404.4
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	8013	1967134	407.3
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	8134	2105073	386.4
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	7937	2185637	363.1
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	7596	2259657	336.2
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	7897	2329374	339.0
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	8415	2391473	351.9
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	9594	2451856	391.3
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	9936	2506814	396.4
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	10644	2549821	417.4
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1989"	"1989"	10975	2579345	425.5
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1990"	"1990"	11169	2592489	430.8
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1991"	"1991"	11072	2624463	421.9
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1992"	"1992"	10778	2635039	409.0
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1993"	"1993"	11162	2635022	423.6
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1994"	"1994"	11191	2625474	426.2
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1995"	"1995"	10683	2621984	407.4
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1996"	"1996"	9259	2634776	351.4
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1997"	"1997"	7870	2633414	298.9
	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"	"1998"	"1998"	7142	2620914	272.5
"Total"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"	"Male"	"M"			187094	48835759	383.1
"Total"	"25-34 years"	"25-34"	"Black or African American"	"2054-5"					268656	103811736	258.8
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	10054	15535000	64.7
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	10395	15896091	65.4
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	10717	16565072	64.7
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	10217	16676461	61.3
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	10217	16936125	60.3
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	10296	17184732	59.9
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	10361	17434546	59.4
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	10776	17655853	61.0
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	11277	17790310	63.4
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	11187	17850078	62.7
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1989"	"1989"	11252	17829834	63.1
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1990"	"1990"	10924	17756776	61.5
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1991"	"1991"	10836	17667493	61.3
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1992"	"1992"	10466	17478973	59.9
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1993"	"1993"	10672	17252941	61.9
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1994"	"1994"	10692	17057964	62.7
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1995"	"1995"	10620	16875115	62.9
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1996"	"1996"	10175	16693415	61.0
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1997"	"1997"	9512	16413044	58.0
	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"	"1998"	"1998"	9093	16089859	56.5
"Total"	"25-34 years"	"25-34"	"White"	"2106-3"	"Female"	"F"			209739	340639682	61.6
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	25966	15573000	166.7
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	27303	15939717	171.3
	"25-34 years"	"25-34"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	27859	16671082	167.1
